,field_1,polygon_id,leafing,isFlowerin,date,rccM,gccM,bccM,ExGM,gvM,npvM,shadowM,rSD,gSD,bSD,ExGSD,gvSD,npvSD,gcorSD,gcorMD,entropy,elevSD,leafing_predicted,bias
2013,2013,a1b8ea4c-fbea-434c-a2f5-d3b57ed5000e_2023-09-19,75.0,yes,2023_09_19,0.3715938992756121,0.3945764169030314,0.2338296838213564,77.14714251081368,0.974338350031023,0.308407947931032,-0.4881963558737903,42.72237657054937,40.58509154194412,34.44091579942348,14.5410845280397,0.1967541484555525,0.2216410515267856,0.0093325429415562,0.9625171637734458,4.063648218577858,1.8540248232657248,93.45034790039062,18.450347900390625
432,432,1c4454ff-8ea3-4528-9d58-105e85b9fabc_2020-01-24,2.0,no,2020_01_24,0.3521171383481121,0.3662256204080892,0.2816572412437985,46.35114328392508,0.5963093694703069,0.5553402950533747,0.2226832774478137,45.1645236835034,44.81723114947121,48.77589505017349,34.46797855640497,0.3134596877535855,0.3678076805062379,0.0094048242804622,0.9608259171866936,4.153325133560034,4.961417147899373,23.171802520751953,21.171802520751953
239,239,08c4ec87-3de9-40d7-b64e-d3a85534739e_2022-03-30,0.0,no,2022_03_30,0.3817140881037468,0.3389182961956539,0.2793676157005992,5.635023436553569,0.4225717335523167,0.9758653596380248,-1.7155334547008116,44.71594882608493,39.60199717483944,38.80635343288799,20.212445151645216,0.1439950265670437,0.3775960893617457,0.0072905315038392,0.9704682102153648,3.414052382439178,3.795454872914109,21.73138427734375,21.73138427734375
554,554,2b3739ec-df0d-4fda-9346-367b6186fa3d_2023-10-31,10.0,,2023_10_31,0.3481251088260874,0.3618334532463995,0.2900414379275131,40.094339306648806,0.5123527116241443,0.5346122809495025,0.3153695642438535,40.38535399623447,38.35494721201775,40.55371904999908,19.92196280543653,0.1838182571960977,0.2725785411983535,0.0062833716292572,0.9725624013089008,3.504822982108093,4.394620395977988,34.44647979736328,24.44647979736328
1124,1124,52f1f550-4e8b-485f-ad85-de7115173ed9_2019-02-25,0.0,yes,2019_02_25,0.3751454609178366,0.3594150985938312,0.2654394404883321,29.18174546036317,0.5695753021106996,0.7172174299849559,-1.053518356173634,58.8117306498729,56.17189010598567,52.18448463897472,19.51576897137857,0.223605458880359,0.3535801753167762,0.01222809273945,0.9539991169478098,3.945291238256323,5.264871680159157,28.333717346191406,28.333717346191406
1196,1196,553c3929-d889-4c5f-947e-7c72d18d1b76_2022-04-27,0.0,,2022_04_27,0.3283766266650326,0.3662047266884213,0.305418646646546,31.361088107998317,0.298556686652339,0.2614350958296782,0.93637003447712,46.08867857462892,44.845353953719865,43.06796595751792,17.779928609935936,0.1712156392120357,0.2674605817291692,0.0094009349476875,0.9640206616466837,3.3594313303347376,3.3187423362559034,30.320714950561523,30.320714950561523
1361,1361,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2023-05-16,10.0,no,2023_05_16,0.3631197621344584,0.3588787171571004,0.2780015207084411,36.98251966977683,0.5981953185169128,0.6873033094150217,-0.5542049811075735,34.26214837357286,33.63329184632457,35.59529120445713,25.29204799317628,0.2677381112772545,0.2387014114344132,0.0063315528898921,0.9748947101186408,4.046936137381244,7.012500335789893,42.72213363647461,32.72213363647461
1518,1518,737e2cb1-639d-4124-8935-d5bd039532ad_2023-05-23,20.0,,2023_05_23,0.3671362240805577,0.3544045447157442,0.278459231203698,31.491283087062826,0.5815674068987227,0.7629776362991761,-0.8472908635948073,37.36412510014977,37.58918403184831,33.564948235823834,23.836421288124036,0.2616616246789673,0.2180120366395802,0.0068721854860463,0.9694854329796184,3.753417082720824,3.840308889127375,55.799190521240234,35.799190521240234
2759,2759,e03db8cf-6139-4e0b-96da-27a7b4d68ef8_2018-04-25,12.5,,2018_04_25,0.3499787617636141,0.3706083625134876,0.2794128757228982,20.56902325427941,0.2577278417442662,0.2200655980926457,0.1189668771029311,29.996777154484025,28.742102669447316,29.031305331444624,17.63076970409242,0.1730022673799007,0.2073712978321344,0.0086362662672527,0.9677740465906643,3.864197097414973,3.2070309065329146,53.47564697265625,40.97564697265625
2396,2396,bd3a2cef-f5b0-45ec-b21d-9ee281f1a918_2019-04-24,0.0,no,2019_04_24,0.3544754058447482,0.3784493383793489,0.267075255775903,56.05936359119483,0.6699930799598411,0.385827566926688,0.268997616428719,45.46750067872823,44.13392823203683,49.839461090349765,24.90287494027578,0.2241854914725946,0.3214866849271277,0.0079431993378729,0.9683220922085828,3.707843156904243,11.416305621264376,49.788394927978516,49.788394927978516
1117,1117,52755a20-8e62-401e-92b1-2a0329412d05_2018-04-04,15.0,,2018_04_04,0.3334016903849324,0.3695541212268124,0.2970441883882552,44.07019313568705,0.4370427975331606,0.3098612168164011,1.0569838817295545,41.80976101056716,40.81585098682627,44.022829037514,29.14325873690977,0.3090745656060299,0.2877913106106456,0.0084122362979735,0.9665179482082776,3.8158129819871,2.228247028207185,64.86698913574219,49.86698913574219
976,976,4a53dc7a-d0da-44a1-841e-f309b6ae3ccc_2024-02-08,0.0,,2024_02_08,0.3553610650910068,0.3527032199887047,0.2919357149202884,28.92212775100525,0.4771646569733848,0.7073224138811538,-0.2370048619811998,38.5042954863309,37.36106675925876,34.76565647609494,10.538510111216924,0.1227735815489565,0.1967612157146394,0.0036409336679605,0.9840941684220332,3.768349975203805,2.5352058242025577,58.38770294189453,58.38770294189453
2307,2307,b64d553c-5249-4054-92c2-17f38034c737_2023-06-27,9.0,yes,2023_06_27,0.3300038389409694,0.3831986709114357,0.2867974901475949,61.344185317374965,0.5794957111835078,0.1417560781898744,1.2565986156452202,47.01402029916026,44.447602290524415,38.20829572499442,23.59228933188772,0.2477873150916177,0.2998409947312609,0.0070753631590095,0.9719212102336128,4.031202323509699,4.797618025550037,89.50171661376953,80.50171661376953
734,734,3a6ca785-6d91-4811-8b80-778ea8d15797_2023-05-02,0.0,no,2023_05_02,0.3645929189938933,0.395185350888216,0.2402217301178907,81.78239781029244,0.9746627636863312,0.2395844883667034,-0.1214215378501791,36.782281517220696,36.35342923441018,28.98147514745409,20.82677239877613,0.2601895706184732,0.1798117179383976,0.006326326136311,0.9729303231104068,3.630152331392437,2.9827003053422727,99.62592315673828,99.62592315673828
